item_identifier,item_type,item_fat_content,item_weight,item_visibility
FDX32,Fruits and Vegetables,Regular,15.1,0.1000135
NCB42,Health and Hygiene,Low Fat,11.8,0.008596051
FDR28,Frozen Foods,Regular,13.85,0.025896485
FDL50,Canned,Regular,12.15,0.042277867
DRI25,Soft Drinks,Low Fat,19.6,0.033970195
FDS52,Frozen Foods,Low Fat,8.89,0.005505481
NCU05,Health and Hygiene,Low Fat,11.8,0.098312421
NCD30,Household,Low Fat,19.7,0.026903714
FDW20,Fruits and Vegetables,Low Fat,20.75,0.024129332
FDX25,Canned,Low Fat,12.15,0.101561568
FDX21,Snack Foods,Low Fat,13.15,0.084554569
NCU41,Health and Hygiene,Low Fat,18.85,0.052044976
FDL20,Fruits and Vegetables,Low Fat,17.1,0.128937661
NCR54,Household,Low Fat,16.35,0.090486828
FDH19,Meat,Low Fat,12.35,0.03292824
FDB57,Fruits and Vegetables,Regular,20.25,0.018801549
FDO23,Breads,Low Fat,17.85,0.147023834
NCB07,Household,Low Fat,19.2,0.077628053
FDJ56,Fruits and Vegetables,Low Fat,13.1,0.182514881
DRN47,Hard Drinks,Low Fat,12.1,0.016895293
FDZ07,Fruits and Vegetables,Regular,13.1,0.07371877399126638
NCK31,Others,Low Fat,14.5,0.026916794
FDJ41,Frozen Foods,Low Fat,6.85,0.022976497
DRI51,Dairy,Low Fat,17.25,0.042413704
FDC40,Dairy,Regular,16.0,0.065431917
FDB53,Frozen Foods,Low Fat,13.35,0.140241213
FDA16,Frozen Foods,Low Fat,6.695,0.033935576
FDO19,Fruits and Vegetables,Regular,13.1,0.016516275
FDO04,Frozen Foods,Low Fat,16.6,0.026537206
FDL25,Breakfast,Regular,6.92,0.131128467
NCJ30,Household,Low Fat,5.82,0.080640478
NCQ41,Health and Hygiene,Low Fat,14.8,0.01946418
DRJ35,Hard Drinks,Low Fat,10.1,0.046545786
NCE31,Household,Low Fat,7.67,0.184689756
FDY09,Snack Foods,Low Fat,15.6,0.025342692
FDZ04,Frozen Foods,Low Fat,9.31,0.037923509
FDY07,Fruits and Vegetables,Low Fat,11.8,0.121848436
FDO45,Snack Foods,Regular,13.15,0.038029746
FDB09,Fruits and Vegetables,Low Fat,16.25,0.057485328
FDP51,Meat,Regular,13.85,0.085274988
FDT50,Dairy,Regular,6.75,0.108148913
FDQ08,Fruits and Vegetables,Regular,13.1,0.018838681
DRL11,Hard Drinks,Low Fat,10.5,0.048115543
FDT34,Snack Foods,Low Fat,9.3,0.174621343
FDP01,Breakfast,Regular,20.75,0.105994654
NCJ31,Others,Low Fat,19.2,0.182501773
NCL30,Household,Low Fat,18.1,0.048931174
FDF04,Frozen Foods,Low Fat,17.5,0.013658248
NCZ42,Household,Low Fat,10.5,0.011305479
FDG24,Baking Goods,Low Fat,7.975,0.014653896
FDV49,Canned,Low Fat,10.0,0.025867353
FDX01,Canned,Low Fat,10.1,0.024201905
DRF27,Dairy,Low Fat,8.93,0.028461453
FDF16,Frozen Foods,Low Fat,7.3,0.086266286
FDU04,Frozen Foods,Low Fat,7.93,0.005557062
FDP04,Frozen Foods,Low Fat,15.35,0.013834247
FDD05,Frozen Foods,Low Fat,19.35,0.016637301
FDV07,Fruits and Vegetables,Low Fat,9.5,0.031331581
FDT20,Fruits and Vegetables,Low Fat,10.5,0.041459804
FDC44,Fruits and Vegetables,Low Fat,15.6,0.07371877399126638
DRM59,Hard Drinks,Low Fat,5.88,0.003597678
DRG23,Hard Drinks,Low Fat,8.88,0.086916126
NCJ29,Health and Hygiene,Low Fat,10.6,0.035247642
NCM42,Household,Low Fat,6.13,0.028365524
NCY42,Household,Low Fat,6.38,0.015186146
NCX54,Household,Low Fat,9.195,0.048134591
NCI06,Household,Low Fat,11.3,0.047791878
NCQ02,Household,Low Fat,12.6,0.007468056
NCR38,Household,Low Fat,17.25,0.113694957
NCM30,Household,Low Fat,19.1,0.067400032
FDK43,Meat,Low Fat,9.8,0.026882496
FDK21,Snack Foods,Low Fat,7.905,0.010027885
FDR45,Snack Foods,Low Fat,10.8,0.028988288
FDV09,Snack Foods,Low Fat,12.1,0.020600553
FDU12,Baking Goods,Regular,15.5,0.075868843
FDZ47,Baking Goods,Regular,20.7,0.079419755
FDO11,Breads,Regular,8.0,0.030311951
FDU49,Canned,Regular,19.5,0.030742083
FDA02,Dairy,Regular,14.0,0.02976887
FDV26,Dairy,Regular,20.25,0.07670093052484472
FDA04,Frozen Foods,Regular,11.3,0.066833743
FDO52,Frozen Foods,Regular,11.6,0.077284566
FDA40,Frozen Foods,Regular,16.0,0.09942555
FDS27,Meat,Regular,10.195,0.012477512
FDU15,Meat,Regular,13.65,0.026643448
FDV33,Snack Foods,Regular,9.6,0.027386122
FDV34,Snack Foods,Regular,10.695,0.011443222
FDX46,Snack Foods,Regular,12.3,0.058207114
NCA53,Health and Hygiene,Low Fat,11.395,0.009893817
FDT24,Baking Goods,Regular,12.35,0.18614827
FDX27,Dairy,Regular,20.7,0.114294512
NCQ38,Others,Low Fat,14.5,0.023402893
FDK02,Canned,Low Fat,12.15,0.196490902
FDI15,Dairy,Low Fat,13.35,0.24749009
FDE09,Fruits and Vegetables,Low Fat,13.1,0.037824735
FDS55,Fruits and Vegetables,Low Fat,13.1,0.142107998
FDZ56,Fruits and Vegetables,Low Fat,13.1,0.04506213
NCA05,Health and Hygiene,Low Fat,12.15,0.044000492
