outlet_identifier,outlet_type,outlet_size,outlet_location_type,outlet_establishment_year,outlet_age
OUT049,Supermarket Type1,Medium,Tier 1,2012,12
OUT018,Supermarket Type2,Medium,Tier 3,2022,2
OUT046,Supermarket Type1,Small,Tier 1,2016,8
OUT013,Supermarket Type1,High,Tier 3,2014,10
OUT045,Supermarket Type1,Small,Tier 2,2015,9
OUT017,Supermarket Type1,Small,Tier 2,2020,4
OUT010,Grocery Store,Small,Tier 3,2011,13
OUT027,Supermarket Type3,Medium,Tier 3,2018,6
OUT035,Supermarket Type1,Small,Tier 2,2017,7
OUT019,Grocery Store,Small,Tier 1,2018,6
